1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
1513	-0.858113	118.920816	0.007913	29.1
1514	-0.796043	118.876630	0.008190	28.7
1515	-0.610052	118.832487	0.006601	30.0
1516	-0.102873	118.788388	0.005358	29.9
1517	-0.813576	118.744332	0.007680	32.3
1518	-0.826781	118.700320	0.007560	33.3
1519	-0.916673	118.656352	0.007795	31.7
1520	-0.999735	118.612427	0.007448	27.6
1521	-0.000000	118.568545	0.000000	30.4
1522	-0.678122	118.524706	0.005218	30.1
1523	-0.903661	118.480911	0.007212	31.4
1524	-0.586818	118.437159	0.006826	29.6
1525	-0.871244	118.393450	0.008052	31.1
1526	0.000000	118.349784	0.000000	28.1
1527	-0.432355	118.306160	0.005209	29.3
1528	-1.001885	118.262580	0.010140	31.0
1529	-0.835004	118.219042	0.006655	31.3
1530	0.000000	118.175548	0.000000	31.6
1531	-0.709856	118.132095	0.008210	31.6
1532	-0.828093	118.088686	0.006157	31.6
1533	-0.626685	118.045319	0.004992	28.2
1534	-0.485558	118.001994	0.005605	28.7
1535	-0.191697	117.958712	0.002862	30.8
1536	-0.730834	117.915472	0.006108	30.6
1537	-0.677851	117.872274	0.007551	29.7
1538	-0.737204	117.829118	0.007015	29.6
1539	-0.693713	117.786005	0.007174	30.9
1540	-0.752546	117.742933	0.006425	30.2
1541	0.000000	117.699904	0.000000	31.3
1542	-0.573498	117.656916	0.007280	30.6
1543	-0.738216	117.613971	0.006689	33.0
1544	-0.552561	117.571067	0.005205	36.6
1545	0.000000	117.528205	0.000000	33.2
1546	-0.739296	117.485384	0.006495	37.9
1547	-0.739565	117.442605	0.007657	30.2
1548	0.000000	117.399867	0.000000	31.0
1549	-0.602986	117.357171	0.005864	29.8
1550	-0.979976	117.314517	0.008514	30.5
1551	-0.725479	117.271903	0.005673	29.5
1552	-0.767040	117.229331	0.005890	29.0
1553	-0.900849	117.186800	0.007206	28.8
1554	-0.621363	117.144311	0.005853	30.9
1555	-0.667778	117.101862	0.004853	32.1
1556	0.000000	117.059454	0.000000	30.1
1557	-0.589315	117.017087	0.005227	32.7
1558	-0.122264	116.974762	0.008131	29.6
1559	-0.627616	116.932476	0.005339	30.2
1560	-0.856538	116.890232	0.007483	30.6
1561	-0.509473	116.848028	0.004202	30.2
1562	-0.939590	116.805865	0.006233	31.4
1563	-0.868280	116.763743	0.007703	32.4
1564	-0.738425	116.721661	0.006499	30.1
1565	-0.222579	116.679619	0.003385	30.6
1566	-0.700918	116.637618	0.006799	29.5
1567	-0.910229	116.595657	0.007327	30.0
1568	-0.539232	116.553736	0.004349	30.6
1569	-0.861277	116.511855	0.007907	32.0
1570	-0.702438	116.470015	0.007920	32.8
1571	-0.647855	116.428214	0.007292	31.3
1572	-0.836229	116.386454	0.007278	32.0
1573	-0.643044	116.344733	0.006973	31.5
1574	-0.384902	116.303052	0.003408	28.4
1575	0.000000	116.261412	0.000000	28.8
1576	-0.872609	116.219810	0.005292	29.4
1577	-0.775047	116.178249	0.006522	30.2
1578	-0.520076	116.136727	0.005787	29.9
1579	-0.836475	116.095245	0.005082	29.1
1580	-0.583390	116.053802	0.007183	29.0
1581	-0.672088	116.012398	0.005950	30.9
1582	-0.563945	115.971034	0.006466	29.3
1583	-0.557639	115.929710	0.009116	30.9
1584	0.000000	115.888424	0.000000	29.1
1585	-0.828705	115.847178	0.005731	30.3
1586	-0.658865	115.805970	0.006717	35.9
1587	0.000000	115.764802	0.000000	32.0
1588	-0.639688	115.723673	0.006523	32.0
1589	-0.917970	115.682583	0.008816	30.7
1590	0.000000	115.641532	0.000000	31.6
1591	0.000000	115.600519	0.000000	30.5
1592	-0.672461	115.559546	0.004767	32.2
1593	-0.576238	115.518610	0.006365	30.0
1594	-0.975361	115.477714	0.008784	36.0
1595	-0.782988	115.436856	0.006064	30.7
1596	-0.984729	115.396037	0.012104	28.0
1597	-0.587272	115.355256	0.007625	30.3
1598	-0.789365	115.314514	0.008023	31.7
1599	-0.212250	115.273810	0.005183	37.3
1600	-0.822708	115.233144	0.006947	33.2
1601	-0.569705	115.192517	0.005872	36.7
1602	-0.600545	115.151927	0.007549	34.1
1603	-0.294926	115.111376	0.007176	34.8
1604	-0.047800	115.070863	0.000527	34.7
1605	-0.592051	115.030388	0.007302	33.1
1606	-0.840750	114.989951	0.007664	32.5
1607	-0.835578	114.949551	0.006189	30.9
1608	0.000000	114.909190	0.000000	32.2
1609	-0.431096	114.868866	0.005346	31.4
1610	-0.589216	114.828580	0.006472	32.8
1611	-0.362877	114.788332	0.005804	28.9
1612	0.000000	114.748121	0.000000	31.4
1613	-0.778904	114.707948	0.007057	30.9
1614	-0.435100	114.667812	0.005511	30.0
1615	-0.678350	114.627714	0.006696	30.1
1616	-0.524840	114.587653	0.004289	30.2
1617	-0.700621	114.547629	0.007096	29.2
1618	-0.882278	114.507643	0.005273	30.3
1619	-0.585446	114.467693	0.007597	29.2
1620	-0.763701	114.427781	0.007551	32.6
1621	-0.807263	114.387907	0.005835	31.5
1622	-0.590593	114.348069	0.005469	31.8
1623	-0.894967	114.308268	0.006825	31.8
1624	-0.905405	114.268504	0.006968	32.2
1625	-0.698794	114.228777	0.007481	30.8
1626	-0.640590	114.189086	0.006935	31.7
1627	-0.794064	114.149433	0.007288	29.3
1628	-0.489142	114.109816	0.004809	29.3
1629	-0.437067	114.070235	0.005312	29.9
1630	-0.793198	114.030692	0.006261	30.9
1631	-0.747803	113.991185	0.006629	29.2
1632	-0.908050	113.951714	0.007031	28.0
1633	-0.514203	113.912280	0.004513	28.9
1634	-0.078296	113.872882	0.001609	30.7
1635	-0.974361	113.833521	0.009139	30.2
1636	-0.893317	113.794195	0.006032	29.2
1637	-0.786672	113.754906	0.007924	29.7
1638	-0.908705	113.715653	0.007969	29.6
1639	-0.821244	113.676437	0.007708	30.9
1640	-0.574104	113.637256	0.005773	29.5
1641	-0.823293	113.598111	0.006980	31.2
1642	-0.821076	113.559002	0.006100	28.3
1643	-0.000000	113.519929	0.000000	28.6
1644	-0.740932	113.480892	0.005603	29.7
1645	-0.970061	113.441891	0.007047	30.5
1646	0.000000	113.402925	0.000000	29.0
1647	-0.863980	113.363995	0.005730	29.2
1648	-0.856489	113.325101	0.008396	29.1
1649	-0.792706	113.286242	0.007496	31.0
1650	-0.682380	113.247419	0.006656	30.4
1651	0.000000	113.208631	0.000000	27.7
1652	-0.872054	113.169879	0.006418	30.0
1653	0.000000	113.131162	0.000000	28.9
