1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.974697	0.000000	14.420004	0.022148	148.4
1	-0.930481	0.000000	14.420004	0.021882	3.5
2	-0.955874	0.000000	14.420004	0.023105	3.5
3	-0.955340	0.994783	13.767814	0.011330	3.4
4	-0.947264	1.994084	13.169478	0.008656	4.1
5	-0.966179	2.961243	12.637913	0.025248	3.3
6	-0.957456	3.961243	12.131611	0.011970	5.2
7	-0.987456	4.961243	11.664314	0.023454	4.2
8	-0.946808	4.402785	11.920744	0.010111	3.9
9	-0.929782	5.402749	11.469264	0.009215	3.9
10	-0.987711	5.687780	11.346770	0.009265	4.4
11	-0.953685	5.146046	11.581869	0.015083	3.7
12	-0.953827	6.070210	11.186470	0.013420	3.6
13	-0.951810	7.070177	10.787965	0.011529	3.8
14	-0.987649	7.905383	10.476252	0.019226	3.8
15	-0.975516	7.346925	10.682643	0.020953	3.7
16	-0.969199	8.346925	10.318631	0.018222	3.7
17	-0.949971	9.346925	9.978609	0.013991	3.6
18	-0.948624	10.346925	9.660280	0.015835	3.7
19	-0.923937	11.345933	9.361922	0.016171	3.6
20	-0.958261	10.787475	9.526397	0.008795	3.7
21	-0.943890	11.787316	9.235891	0.012825	3.6
22	-0.949056	11.228858	9.395930	0.016180	3.7
23	-0.973808	10.670443	9.561599	0.022649	3.7
24	-0.979146	11.670443	9.268931	0.013543	3.8
25	-0.944340	12.670443	8.993647	0.013589	3.7
26	-0.977561	12.111985	9.145332	0.020457	3.6
27	-0.970842	13.111985	8.877234	0.012422	3.9
28	-0.954627	14.111972	8.624411	0.011207	4.0
29	-0.959797	13.553550	8.763791	0.014973	3.2
30	-0.958072	14.553427	8.517325	0.019981	3.7
31	-0.950963	15.553409	8.284319	0.010297	4.0
32	-0.939047	15.167692	8.372668	0.013026	3.7
33	-0.913461	16.167245	8.147499	0.015686	3.6
34	-0.937073	17.167245	7.934031	0.015644	3.9
35	-0.938354	16.617786	8.049918	0.011970	3.6
36	-0.946338	17.611931	7.842656	0.011668	4.4
37	-0.971986	17.053677	7.957709	0.016282	3.8
38	-0.966358	16.496023	8.076059	0.016814	3.9
39	-0.962905	17.496023	7.866269	0.011322	3.7
40	-0.966174	16.937620	7.982053	0.012985	3.9
41	-0.967627	17.827602	7.799093	0.014338	3.5
42	-0.968879	17.269737	7.912782	0.013148	3.7
43	-0.956860	16.711283	8.029960	0.011592	3.1
44	-1.006489	17.711283	7.822528	0.016134	3.8
45	-0.972015	17.231518	7.920692	0.014089	3.7
46	-0.997999	16.673422	8.038030	0.019985	3.7
47	-0.960470	16.120052	8.157857	0.014557	3.6
48	-1.003246	16.113630	8.159269	0.015307	4.0
49	-0.930526	17.113630	7.945192	0.016539	3.7
50	-0.963769	18.113630	7.742061	0.013194	3.7
51	-0.931551	17.656119	7.833691	0.013924	3.7
52	-0.982662	17.109627	7.946026	0.013765	3.6
53	-0.968949	18.109598	7.742859	0.020057	3.6
54	-0.938467	19.109598	7.549816	0.013658	3.6
55	-0.982231	20.109598	7.366165	0.011302	3.7
56	-0.944560	20.745830	7.253900	0.014641	3.6
57	-0.943148	21.745830	7.084202	0.010650	3.9
58	-0.989590	22.744874	6.922413	0.017586	3.7
59	-0.986242	23.744862	6.767706	0.013545	3.6
60	-0.955380	23.186404	6.853241	0.024929	3.7
61	-0.954264	22.627946	6.940966	0.018456	3.9
62	-0.970605	23.627946	6.785436	0.014986	3.7
63	-0.978474	23.069488	6.871423	0.014604	3.7
64	-0.995288	22.517788	6.958536	0.015123	3.6
65	-0.959151	23.517375	6.802290	0.011911	3.0
66	-0.965254	24.517375	6.652846	0.023131	3.6
67	-0.952538	23.958918	6.735484	0.013379	3.7
68	-0.961002	24.958918	6.588930	0.014313	3.6
69	-0.987354	25.958882	6.448622	0.014561	3.6
70	-0.949622	26.955263	6.314637	0.021715	3.6
71	-0.983169	27.955263	6.185649	0.012214	3.5
72	-0.957321	28.921673	6.065904	0.023112	3.6
