epoch,train_loss,valid_loss,dice_score,time
0,276.9166259765625,223.0213623046875,0.010608982294797897,00:02
1,218.7511444091797,139.59552001953125,0.012097632512450218,00:03
2,182.95980834960938,125.85496520996094,0.012232841923832893,00:03
3,161.93992614746094,116.94742584228516,0.012301415205001831,00:02
4,148.97454833984375,115.20783996582031,0.012323066592216492,00:02
