1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-1.223845	627.201626	0.012621	378.2
1	-1.165469	623.504937	0.018835	4.3
2	-1.506956	619.865785	0.015624	3.8
3	-0.000000	616.282728	0.000000	3.9
4	-1.265156	612.754375	0.015833	4.8
5	-1.374487	609.279381	0.013508	4.8
6	-1.275948	605.856447	0.011482	4.0
7	-0.349582	602.484317	0.007079	4.3
8	-1.299254	599.161779	0.012065	5.1
9	-0.000000	595.887656	0.000000	3.7
10	-1.323831	592.660813	0.009349	4.0
11	-0.442186	589.480151	0.007043	4.7
12	-1.458948	586.344606	0.009681	4.3
13	-1.305490	583.253145	0.011644	3.8
14	-1.279343	580.204771	0.012871	3.7
15	-0.916844	577.198517	0.014531	5.1
16	-1.009790	574.233444	0.016073	4.2
17	-1.634648	571.308645	0.008475	3.7
18	-1.077528	568.423237	0.007760	4.6
19	-0.138154	565.576365	0.003224	5.2
20	-1.405590	562.767201	0.010649	4.1
21	-0.613646	559.994938	0.023455	3.9
22	-0.868867	557.258797	0.010691	6.3
23	-0.984546	554.558018	0.011175	4.0
24	-1.183922	551.891865	0.011024	3.8
25	-1.327945	549.259621	0.022124	4.1
26	-1.226774	546.660592	0.014920	4.7
27	-1.616886	544.094102	0.008145	4.2
28	-0.000000	541.559494	0.000000	3.8
29	-0.000000	539.056129	0.000000	4.2
30	-1.189367	536.583387	0.013882	4.9
31	-1.252799	534.140663	0.017161	3.8
32	-1.135224	531.727370	0.022273	3.9
33	-1.148231	529.342935	0.009241	4.2
34	-1.267791	526.986802	0.003842	5.3
35	-1.343097	524.658430	0.010253	3.6
36	-0.113752	522.357290	0.006049	4.0
37	-1.361024	520.082868	0.026217	4.5
38	-1.039367	517.834665	0.012568	4.8
39	-0.004380	515.612193	0.000617	3.7
40	-1.087193	513.414976	0.020712	4.2
41	-1.260302	511.242551	0.026436	4.7
42	-1.043026	509.094468	0.008551	5.1
43	-1.591891	506.970285	0.018519	4.1
44	-0.737932	504.869574	0.008281	3.9
45	-1.381782	502.791916	0.007754	4.3
46	-1.402638	500.736903	0.009612	4.3
47	-0.018486	498.704137	0.002150	3.9
48	-0.000000	496.693228	0.000000	3.7
49	-0.727665	494.703798	0.005805	4.4
50	-1.328449	492.735476	0.006947	4.4
51	-0.000000	490.787900	0.000000	4.3
52	-1.082128	488.860718	0.008632	4.2
53	-0.736900	486.953585	0.009754	4.2
54	-1.128146	485.066164	0.009440	4.4
55	-1.559256	483.198126	0.011069	3.8
56	-1.254009	481.349149	0.009750	4.1
57	-0.272425	479.518920	0.005639	4.8
58	-1.317385	477.707132	0.027096	4.3
59	-1.296130	475.913485	0.007172	4.3
60	-0.000000	474.137684	0.000000	5.4
61	-0.804683	472.379445	0.007426	5.7
62	-1.252964	470.638485	0.003671	5.4
63	-0.981040	468.914531	0.012315	9.3
64	-1.292454	467.207315	0.012671	4.2
65	-0.238730	465.516573	0.002933	4.5
66	-1.688220	463.842050	0.010765	7.9
67	-1.438648	462.183494	0.015421	4.2
68	-1.243631	460.540658	0.007997	4.4
69	-1.284760	458.913303	0.012164	5.0
70	-1.310013	457.301192	0.006826	4.2
71	-1.441734	455.704096	0.009706	4.2
72	-1.209400	454.121787	0.012656	6.0
73	-1.083235	452.554045	0.010251	4.7
74	-0.000083	451.000653	0.000018	4.0
75	-1.045341	449.461399	0.007880	4.3
76	-1.359766	447.936075	0.025618	5.5
77	-1.201327	446.424477	0.006385	4.1
78	-0.020630	444.926406	0.000874	4.3
79	-0.920622	443.441666	0.007331	5.8
80	-0.067894	441.970065	0.002414	5.0
81	-0.000000	440.511415	0.000000	3.7
82	-1.391046	439.065533	0.019295	3.8
83	-0.867722	437.632238	0.011191	5.0
84	-0.893774	436.211351	0.005459	3.9
85	-0.666981	434.802701	0.006392	3.8
86	-0.288486	433.406117	0.009305	3.8
87	-0.007098	432.021430	0.000964	4.8
88	-1.461506	430.648479	0.010335	4.0
89	-0.000000	429.287101	0.000000	3.8
90	-0.802572	427.937140	0.007166	3.5
91	-0.000567	426.598440	0.000115	5.2
92	-1.289075	425.270849	0.009439	3.7
93	-1.665631	423.954220	0.014840	3.8
94	-1.180245	422.648404	0.016587	3.6
95	-1.355434	421.353259	0.012567	5.0
96	-0.568123	420.068643	0.008253	4.5
97	-1.319754	418.794419	0.006019	3.9
98	-1.350800	417.530451	0.012644	3.8
99	-0.000000	416.276604	0.000000	4.6
100	-1.027738	415.032748	0.005612	4.1
101	-0.000512	413.798754	0.000095	4.0
102	-0.562765	412.574495	0.010989	4.2
103	-1.550302	411.359849	0.019547	4.4
