1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
350	-0.706695	61.925723	2.910547	0.014187	3.3
351	-0.690862	62.925722	2.875867	0.019641	3.3
352	-0.699322	63.925467	2.842012	0.019569	3.3
353	-0.727140	63.150906	2.868171	0.019437	3.3
354	-0.686114	62.376367	2.894815	0.022477	3.3
355	-0.702868	63.376367	2.860507	0.020984	3.3
356	-0.688993	64.376367	2.827002	0.015692	3.3
357	-0.696484	63.815867	2.845684	0.014330	3.3
358	-0.653313	63.159923	2.867864	0.014711	3.3
359	-0.667880	62.399128	2.894025	0.016037	3.3
360	-0.718337	61.624567	2.921155	0.022311	3.5
361	-0.701814	62.624567	2.886223	0.017607	3.4
362	-0.718894	63.624567	2.852117	0.025312	3.3
363	-0.715534	62.850006	2.878464	0.018307	3.3
364	-0.695708	63.850006	2.844539	0.016689	3.3
365	-0.685066	63.075445	2.870745	0.021697	3.3
366	-0.666941	62.301467	2.897418	0.021973	3.2
367	-0.691997	61.602724	2.921928	0.017231	3.3
368	-0.687314	62.602724	2.886978	0.018222	3.3
369	-0.701294	61.828163	2.913975	0.018559	3.3
370	-0.666723	62.828163	2.879214	0.013765	3.3
371	-0.692115	62.053612	2.906065	0.020323	3.3
372	-0.671334	61.280566	2.933368	0.019598	3.3
373	-0.698258	60.506005	2.961244	0.023921	3.3
374	-0.698549	61.506005	2.925353	0.018587	3.4
375	-0.687519	62.505995	2.890322	0.018408	3.2
376	-0.676613	63.505995	2.856119	0.016192	3.1
377	-0.710489	62.737449	2.882333	0.019214	3.3
378	-0.709811	63.737448	2.848318	0.017290	3.3
379	-0.736925	62.962887	2.874594	0.021341	3.5
380	-0.691730	63.962887	2.840760	0.018506	3.3
381	-0.696746	63.189499	2.866856	0.015766	3.2
382	-0.701478	62.702167	2.883548	0.016647	3.4
383	-0.679333	62.010306	2.907581	0.023273	3.8
384	-0.663775	63.010305	2.872971	0.013075	4.0
385	-0.699611	62.235758	2.899705	0.022049	3.4
386	-0.730846	62.068223	2.905554	0.017379	3.3
387	-0.694092	63.068223	2.870992	0.019703	3.3
388	-0.684360	62.350507	2.895713	0.014453	3.5
389	-0.678249	63.350507	2.861384	0.022894	3.3
390	-0.720958	62.577240	2.887858	0.019990	3.3
391	-0.687669	63.572304	2.853880	0.009415	3.2
392	-0.694779	64.572211	2.820532	0.016494	3.3
393	-0.651038	65.559500	2.788362	0.013176	3.7
394	-0.688498	66.559221	2.756525	0.021949	4.7
395	-0.704004	67.548328	2.725734	0.014988	3.3
396	-0.680615	68.009324	2.711617	0.035184	3.4
397	-0.713717	67.234763	2.735421	0.019358	4.1
398	-0.702509	68.234763	2.704766	0.020422	3.3
399	-0.662354	67.460202	2.728449	0.024744	3.4
400	-0.697980	68.460202	2.697950	0.012620	3.3
401	-0.686314	67.685900	2.721506	0.026296	3.0
402	-0.693196	68.685900	2.691161	0.018529	3.5
403	-0.642370	69.685900	2.661485	0.019041	2.8
404	-0.692416	70.685900	2.632457	0.018786	3.3
405	-0.736836	71.685789	2.604058	0.022200	3.2
406	-0.677783	70.911229	2.626003	0.014770	3.3
407	-0.702909	70.136668	2.648321	0.018071	3.2
408	-0.707218	69.437652	2.668791	0.014370	3.3
409	-0.685981	68.663099	2.691845	0.015655	3.4
410	-0.671680	69.663099	2.662155	0.014247	3.3
411	-0.695639	70.663099	2.633112	0.022651	3.5
412	-0.698462	71.283682	2.615405	0.019382	3.1
413	-0.691521	70.509121	2.637542	0.019143	3.2
414	-0.692094	71.509121	2.609031	0.022593	3.4
415	-0.685346	70.734560	2.631061	0.012426	3.3
416	-0.673110	69.959999	2.653465	0.023608	3.4
417	-0.695772	70.959999	2.624611	0.021181	3.3
418	-0.665264	71.959999	2.596377	0.015955	3.3
419	-0.693260	71.185438	2.618192	0.015216	3.3
420	-0.685944	72.184811	2.590113	0.018246	3.4
421	-0.664416	73.184808	2.562613	0.014745	3.3
