1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.802196	0.000000	11.490201	0.034461	140.6
1	-0.800643	0.000000	11.490201	0.035862	3.5
2	-0.821881	0.000000	11.490201	0.034990	3.5
3	-0.824052	0.000000	11.490201	0.040926	3.9
4	-0.854447	0.000000	11.490201	0.037594	4.1
5	-0.856886	0.000000	11.490201	0.036797	3.4
6	-0.910667	0.000000	11.490201	0.038695	3.2
7	-0.885175	0.000000	11.490201	0.039568	3.2
8	-0.934968	0.000000	11.490201	0.037585	3.6
9	-0.922867	0.000000	11.490201	0.042533	3.2
10	-0.937454	0.000000	11.490201	0.034988	3.3
11	-0.975483	0.000000	11.490201	0.038654	3.2
12	-0.967584	0.000000	11.490201	0.031341	3.3
13	-0.997954	0.000000	11.490201	0.039725	3.5
14	-0.977650	0.000000	11.490201	0.036381	3.2
15	-0.971984	0.000000	11.490201	0.036414	3.3
16	-1.005545	0.000000	11.490201	0.037018	3.4
17	-1.007387	0.000000	11.490201	0.036366	3.3
18	-1.053351	0.000000	11.490201	0.037587	3.1
19	-1.055369	0.000000	11.490201	0.039380	3.3
20	-1.075836	0.000000	11.490201	0.033609	3.2
21	-1.065772	0.000000	11.490201	0.035663	3.4
22	-1.109339	0.000000	11.490201	0.036011	3.3
23	-1.145022	0.000000	11.490201	0.036599	3.2
24	-1.144746	0.000000	11.490201	0.039733	3.2
25	-1.147120	0.000000	11.490201	0.031840	3.3
26	-1.149452	0.000000	11.490201	0.032400	3.4
27	-1.168595	0.000000	11.490201	0.031456	3.2
28	-1.196926	0.000000	11.490201	0.033874	3.4
29	-1.225773	0.000000	11.490201	0.031371	3.2
30	-1.153462	0.000000	11.490201	0.027302	3.2
31	-1.235353	0.000000	11.490201	0.025343	3.2
32	-1.201267	0.000000	11.490201	0.026560	3.8
33	-1.288322	0.000000	11.490201	0.020644	3.4
34	-1.205387	0.000000	11.490201	0.028998	3.3
35	-1.228963	0.000000	11.490201	0.023712	3.3
36	-1.199953	0.000000	11.490201	0.023645	3.3
37	-1.218989	0.000000	11.490201	0.024666	3.3
38	-1.250406	0.000000	11.490201	0.026634	3.5
39	-1.266698	0.000000	11.490201	0.022468	3.2
40	-1.275312	0.000000	11.490201	0.022752	3.2
41	-1.286664	0.000000	11.490201	0.023976	3.4
42	-1.299952	0.000000	11.490201	0.022888	3.5
43	-1.248290	0.000000	11.490201	0.027978	3.1
44	-1.288353	0.000000	11.490201	0.019153	3.3
45	-1.281683	0.000000	11.490201	0.019039	3.3
46	-1.275422	0.000000	11.490201	0.020795	3.5
47	-1.278622	0.000000	11.490201	0.020850	3.2
48	-1.298461	0.000000	11.490201	0.019217	3.2
49	-1.337295	0.000000	11.490201	0.024731	3.1
50	-1.334999	1.000000	10.967920	0.017073	3.3
51	-1.305357	0.956970	10.989414	0.017553	3.4
52	-1.290862	0.913940	11.010993	0.014525	3.3
53	-1.310009	0.870910	11.032656	0.015110	3.3
54	-1.317814	0.827880	11.054405	0.009896	3.3
55	-1.297113	0.784850	11.076240	0.016403	3.3
56	-1.307856	0.741820	11.098162	0.014409	3.2
57	-1.289665	1.741820	10.610155	0.011047	3.3
58	-1.312061	1.698790	10.630268	0.015099	3.2
59	-1.286255	2.698790	10.181711	0.011446	4.2
60	-1.291986	2.658534	10.199035	0.011657	3.9
61	-1.333682	2.615504	10.217619	0.008803	3.7
62	-1.308106	2.572474	10.236271	0.012561	3.7
63	-1.346571	2.543170	10.249012	0.014397	3.6
64	-1.303739	3.543170	9.831421	0.008728	3.8
65	-1.317077	3.500140	9.848688	0.011575	3.6
66	-1.310802	4.500140	9.462467	0.007713	3.9
67	-1.315557	4.457110	9.478461	0.009857	3.7
68	-1.285831	4.424989	9.490436	0.015218	3.9
69	-1.360574	5.424989	9.131290	0.013766	3.8
70	-1.341306	6.424989	8.798335	0.014704	3.5
71	-1.331319	6.383805	8.811567	0.013618	3.5
72	-1.329358	7.383805	8.501123	0.011046	3.7
73	-1.332816	7.340775	8.514031	0.016018	3.5
74	-1.306743	7.297745	8.526977	0.011850	3.7
75	-1.327163	8.297745	8.235932	0.011817	3.7
76	-1.320270	8.274066	8.242594	0.014469	3.8
77	-1.317606	8.231036	8.254727	0.006201	3.7
78	-1.312350	9.231036	7.981673	0.015213	4.1
79	-1.328667	10.231036	7.726104	0.008363	3.7
80	-1.328699	10.188006	7.736764	0.012088	3.7
81	-1.294191	10.145350	7.747360	0.010686	3.9
82	-1.327143	10.102320	7.758078	0.007643	3.6
83	-1.348013	10.059290	7.768826	0.010089	3.6
84	-1.301302	11.059290	7.526500	0.012771	3.6
85	-1.316324	12.059290	7.298833	0.018852	3.8
86	-1.313701	12.016260	7.308345	0.006927	3.6
87	-1.320040	13.016260	7.093497	0.011355	3.7
88	-1.320518	14.016260	6.890920	0.008193	3.7
89	-1.313996	15.016259	6.699592	0.011000	3.7
90	-1.311673	14.973229	6.707606	0.011705	3.7
91	-1.317723	14.930199	6.715639	0.013773	3.7
92	-1.320150	15.930199	6.533792	0.016482	3.7
93	-1.312383	16.930199	6.361534	0.014001	3.7
94	-1.306131	17.930199	6.198125	0.011987	3.1
95	-1.317188	17.887169	6.204983	0.011709	3.7
96	-1.310967	18.887169	6.049420	0.014269	3.6
97	-1.323732	18.844139	6.055953	0.011030	3.6
98	-1.310503	18.801109	6.062500	0.009012	3.9
99	-1.327713	19.801109	5.913914	0.009812	3.7
100	-1.332617	19.774022	5.917842	0.011409	3.7
101	-1.302976	19.730992	5.924094	0.010229	3.6
102	-1.334024	20.730992	5.782135	0.009040	3.7
103	-1.333691	20.716990	5.784076	0.013760	3.7
104	-1.317609	21.716990	5.648671	0.006040	3.7
105	-1.324592	21.673960	5.654367	0.010166	3.9
106	-1.326825	21.630933	5.660074	0.011603	3.8
107	-1.325291	22.425975	5.556449	0.010779	3.8
108	-1.346279	23.425975	5.431377	0.010622	3.7
109	-1.296737	23.382945	5.436643	0.009168	3.6
110	-1.327505	24.381912	5.316969	0.011273	3.6
111	-1.309684	24.338882	5.322015	0.010312	3.9
112	-1.330457	24.295852	5.327071	0.007697	3.7
113	-1.299430	24.667866	5.283677	0.008846	3.7
114	-1.356243	25.667600	5.170487	0.010766	3.8
115	-1.329396	25.624570	5.175259	0.010075	4.3
116	-1.312775	25.581540	5.180040	0.011132	4.7
117	-1.304173	26.543256	5.075257	0.009134	4.4
118	-1.339261	26.667815	5.061995	0.010835	4.2
119	-1.322296	27.667815	4.957984	0.007774	4.6
120	-1.300435	27.624785	4.962371	0.010031	4.3
121	-1.313705	27.581755	4.966766	0.008054	4.7
122	-1.311306	27.538729	4.971169	0.014231	4.3
123	-1.341085	28.538729	4.870820	0.015208	5.5
124	-1.298340	29.538729	4.774442	0.011045	6.0
