1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.544998	0.000000	8.813008	0.016634	123.4
1	-0.566050	0.000000	8.813008	0.012147	2.8
2	-0.554991	0.000000	8.813008	0.021763	3.2
3	-0.581319	0.995691	8.414065	0.027255	3.3
4	-0.544593	1.995691	8.048167	0.029752	3.2
5	-0.535470	1.164462	8.349996	0.018221	3.4
6	-0.526660	2.164462	7.989530	0.022378	3.3
7	-0.525318	1.407875	8.259291	0.018361	3.3
8	-0.553846	2.407872	7.906450	0.015076	3.5
9	-0.563204	1.578534	8.196864	0.025701	3.4
10	-0.556348	0.747306	8.510165	0.032530	3.2
11	-0.542733	1.747306	8.136048	0.018341	3.3
12	-0.555092	2.747306	7.793438	0.015819	3.2
13	-0.544513	3.667038	7.502853	0.014957	3.3
14	-0.538039	4.661808	7.212008	0.016707	3.3
15	-0.558151	3.830584	7.453436	0.019158	3.2
16	-0.543752	3.016108	7.706210	0.013235	4.0
17	-0.548167	4.012496	7.399228	0.018431	3.7
18	-0.538770	5.012439	7.114795	0.023951	3.4
19	-0.550168	6.012439	6.851405	0.016714	3.3
20	-0.592202	7.012313	6.606851	0.023600	3.3
21	-0.558909	8.009190	6.379812	0.015453	3.4
22	-0.548747	7.177962	6.568011	0.016661	3.3
23	-0.572068	6.346888	6.767613	0.022539	3.3
24	-0.542166	7.346729	6.528907	0.021885	3.3
25	-0.561478	8.346729	6.306432	0.014039	3.3
26	-0.542616	7.938223	6.395457	0.022943	4.1
27	-0.550994	8.936464	6.182199	0.022813	3.3
28	-0.557216	9.927475	5.984102	0.025019	3.3
29	-0.541373	10.927475	5.796674	0.020345	3.2
30	-0.541823	11.927475	5.620630	0.015302	3.3
31	-0.548882	11.619963	5.673617	0.023403	4.0
32	-0.570451	10.788738	5.821973	0.022172	3.3
33	-0.542197	11.788738	5.644413	0.027402	3.2
34	-0.549412	10.957509	5.791226	0.023438	2.8
35	-0.559762	11.946182	5.617439	0.021030	3.4
36	-0.563703	11.261584	5.736642	0.018103	3.6
37	-0.562247	12.261584	5.564172	0.020890	3.3
38	-0.523122	13.208870	5.410093	0.020066	3.3
39	-0.514450	12.389961	5.542779	0.019300	3.4
40	-0.534087	13.389961	5.381604	0.019395	3.3
41	-0.551057	12.558732	5.514903	0.014640	3.3
42	-0.537232	13.548671	5.356882	0.025361	3.3
43	-0.557059	14.548645	5.206195	0.006170	3.3
44	-0.560571	15.548615	5.063753	0.021369	3.3
45	-0.542348	14.717396	5.181597	0.022604	3.3
46	-0.566480	15.717395	5.040476	0.020561	3.3
47	-0.558445	16.717395	4.906838	0.017069	3.3
48	-0.561703	15.886175	5.017413	0.024088	3.4
49	-0.549339	16.886175	4.884979	0.018771	3.3
50	-0.576275	16.054946	4.994560	0.023591	3.3
51	-0.512314	17.054765	4.863337	0.018936	3.2
52	-0.567874	18.054765	4.738811	0.017050	3.2
53	-0.566085	17.223536	4.841864	0.018839	3.3
54	-0.531788	16.392349	4.949493	0.019045	3.5
55	-0.576576	17.392346	4.820575	0.023963	3.2
56	-0.527206	17.314826	4.830328	0.016193	3.3
57	-0.556464	18.314721	4.707478	0.018705	3.3
58	-0.556781	19.224506	4.601005	0.021352	3.3
59	-0.555878	18.393277	4.698090	0.029162	3.2
60	-0.554208	19.393277	4.581781	0.019377	3.4
61	-0.566829	19.716095	4.545455	0.022775	3.3
62	-0.564471	20.715837	4.436521	0.028007	3.3
63	-0.562897	21.715836	4.332659	0.029838	3.3
64	-0.569318	22.715836	4.233550	0.020688	3.5
65	-0.582686	23.715836	4.138873	0.020958	3.3
66	-0.566866	22.884609	4.217268	0.021446	3.4
67	-0.547890	23.877691	4.123946	0.023216	3.3
68	-0.539387	24.877691	4.034056	0.022709	3.4
69	-0.546842	25.566784	3.974360	0.024067	3.3
70	-0.551406	24.735555	4.046593	0.019864	3.4
71	-0.568551	25.735204	3.960038	0.014187	3.2
72	-0.563500	24.943754	4.028255	0.024434	3.2
73	-0.564372	24.179845	4.096366	0.021083	3.4
74	-0.559891	23.369234	4.171205	0.014222	3.2
75	-0.567938	24.369226	4.079267	0.025213	3.3
76	-0.544442	23.537998	4.155399	0.018422	3.2
77	-0.554796	22.713827	4.233744	0.013015	3.3
78	-0.554054	23.659108	4.144130	0.018957	3.3
79	-0.553794	22.993073	4.206871	0.024824	3.3
80	-0.568113	22.209675	4.283142	0.031703	3.3
81	-0.567478	21.425899	4.362269	0.020346	3.2
82	-0.573155	22.425899	4.261815	0.011370	3.2
83	-0.575459	21.594706	4.344981	0.014225	3.3
84	-0.543270	20.763943	4.431410	0.015766	3.3
85	-0.588867	20.021889	4.511571	0.030309	3.3
86	-0.563354	19.190661	4.604880	0.013510	3.3
87	-0.544530	20.190661	4.493086	0.019378	3.3
88	-0.544560	21.190618	4.386595	0.024599	3.3
89	-0.578319	22.190618	4.285032	0.015784	3.3
90	-0.566119	22.700572	4.235028	0.025862	3.3
91	-0.564931	21.869477	4.317131	0.016343	3.3
92	-0.550278	21.038338	4.402485	0.023948	3.3
93	-0.581500	20.207109	4.491292	0.015045	3.3
94	-0.531695	19.375882	4.583755	0.021179	3.2
95	-0.506861	20.216560	4.490262	0.016322	3.2
96	-0.527987	19.670622	4.550537	0.012994	3.2
97	-0.578765	19.071870	4.618531	0.030385	3.5
98	-0.537617	18.240641	4.716364	0.027999	3.2
99	-0.532166	19.143821	4.610253	0.016540	3.2
100	-0.571483	20.143821	4.498201	0.026395	3.2
101	-0.572921	21.143821	4.391466	0.038295	3.3
102	-0.565316	22.143821	4.289680	0.025210	3.2
103	-0.549921	21.312649	4.373944	0.016342	3.2
104	-0.560069	20.481420	4.461592	0.010333	3.2
105	-0.556269	21.481307	4.356579	0.016901	3.3
106	-0.530354	22.471188	4.257375	0.025927	3.4
107	-0.559160	21.662268	4.338100	0.026185	3.3
108	-0.581847	20.831039	4.424302	0.026592	3.3
109	-0.556814	21.830838	4.321026	0.022698	3.3
110	-0.567407	22.830578	4.222467	0.016434	3.2
111	-0.558312	21.999350	4.304092	0.013896	2.9
112	-0.551853	21.168136	4.388934	0.018738	3.4
113	-0.564981	22.167159	4.287360	0.017038	3.2
114	-0.544611	23.073066	4.199235	0.016058	3.3
115	-0.554227	24.067943	4.106537	0.021410	3.4
116	-0.548268	23.236830	4.183690	0.018646	3.3
117	-0.567742	22.405601	4.263808	0.013715	3.3
118	-0.560137	21.593231	4.345131	0.021685	3.2
119	-0.534628	22.593196	4.245460	0.031787	3.3
120	-0.562076	23.593196	4.150256	0.019599	3.3
121	-0.556808	24.593196	4.059228	0.015428	3.3
122	-0.552310	24.510060	4.066643	0.018488	3.3
123	-0.563156	25.447945	3.984529	0.011694	3.3
124	-0.552384	25.607710	3.970870	0.017467	3.2
125	-0.557225	26.599240	3.888154	0.013575	3.4
