1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.583467	627.201626	0.010219	393.2
1	-0.737833	623.504937	0.022693	4.1
2	-1.121582	619.865785	0.020022	4.6
3	-0.994530	616.282728	0.012087	4.4
4	-0.481031	612.754375	0.016803	3.8
5	-1.131305	609.279381	0.031763	5.2
6	-0.652702	605.856447	0.020362	4.2
7	-0.339854	602.484317	0.005669	3.5
8	-1.027954	599.161779	0.011109	3.8
9	-0.105754	595.887656	0.002007	4.8
10	-0.859507	592.660813	0.013290	4.6
11	-0.963863	589.480151	0.058516	3.6
12	-0.842132	586.344606	0.012307	4.1
13	-0.556995	583.253145	0.018954	5.0
14	-0.714902	580.204771	0.006584	3.7
15	-0.732647	577.198517	0.012540	3.8
16	-1.193848	574.233444	0.010943	4.5
17	-0.724731	571.308645	0.010368	4.4
18	-1.087725	568.423237	0.012361	3.6
19	-0.719502	565.576365	0.008195	3.7
20	-0.000000	562.767201	0.000000	4.4
21	-0.000000	559.994938	0.000000	4.6
22	-0.973129	557.258797	0.015382	3.7
23	-0.871685	554.558018	0.013312	4.1
24	-0.429709	551.891865	0.007143	5.0
25	-0.661628	549.259621	0.021969	4.2
26	-0.000000	546.660592	0.000000	3.8
27	-1.133453	544.094102	0.012249	4.6
28	-1.096769	541.559494	0.016963	4.2
29	-1.112799	539.056129	0.020632	4.3
30	-0.967030	536.583387	0.008549	4.6
31	-1.025823	534.140663	0.011745	4.1
32	-1.179586	531.727370	0.010739	4.2
33	-0.976834	529.342935	0.009515	3.8
34	-1.083538	526.986802	0.012891	4.2
35	-1.171479	524.658430	0.023988	3.6
36	-0.424348	522.357290	0.014029	4.1
37	-0.516338	520.082868	0.017083	4.3
38	-0.363868	517.834665	0.011607	4.7
39	-0.000000	515.612193	0.000000	3.9
40	-0.873840	513.414976	0.030542	4.0
41	-0.945578	511.242551	0.020541	4.3
42	-0.991670	509.094468	0.027832	4.2
43	-0.674697	506.970285	0.013264	3.7
44	-0.834119	504.869574	0.015447	4.2
45	-0.503039	502.791916	0.002651	4.5
46	-0.000000	500.736903	0.000000	3.7
47	-1.113415	498.704137	0.013745	3.9
48	-1.104265	496.693228	0.027169	4.2
49	-1.026380	494.703798	0.011622	4.6
50	-1.001725	492.735476	0.022248	3.7
51	-0.000000	490.787900	0.000000	3.8
52	-0.915237	488.860718	0.023775	4.5
53	-0.879912	486.953585	0.023646	4.5
54	-0.704573	485.066164	0.027041	3.6
55	-0.923604	483.198126	0.018594	3.8
56	-0.756348	481.349149	0.011147	4.4
57	-0.611313	479.518920	0.024333	4.6
58	-0.762576	477.707132	0.012920	3.7
59	-0.021691	475.913485	0.002933	3.8
60	-0.803456	474.137684	0.029911	4.3
61	-1.036028	472.379445	0.035186	4.4
62	-1.067591	470.638485	0.018440	3.6
63	-0.692520	468.914531	0.015327	4.0
64	-0.860696	467.207315	0.021798	4.5
65	-0.999695	465.516573	0.013594	4.3
66	0.000000	463.842050	0.000000	3.6
67	-0.018185	462.183494	0.002545	3.9
68	-0.773422	460.540658	0.009224	4.4
69	-0.000000	458.913303	0.000000	4.5
70	-0.756354	457.301192	0.021959	3.8
71	-0.814627	455.704096	0.013952	3.8
72	-0.000000	454.121787	0.000000	4.4
73	-0.102700	452.554045	0.005776	4.4
74	-0.000000	451.000653	0.000000	3.9
75	-0.888696	449.461399	0.008514	3.9
76	-0.378296	447.936075	0.004555	4.6
77	-0.986647	446.424477	0.029783	4.7
78	-1.227577	444.926406	0.018612	3.8
79	-0.979370	443.441666	0.018156	3.8
80	-1.128227	441.970065	0.016372	4.3
