1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.682507	627.201626	0.021963	663.8
1	-0.915680	623.504937	0.016612	3.9
2	-0.588808	619.865785	0.006623	3.4
3	-0.476405	616.282728	0.007204	5.0
4	-0.346283	612.754375	0.005224	4.3
5	-0.305061	609.279381	0.005549	3.7
6	-0.567872	605.856447	0.010532	3.7
7	-0.120518	602.484317	0.001509	5.0
8	-0.759627	599.161779	0.011057	3.7
9	-0.485836	595.887656	0.005832	3.7
10	-0.893138	592.660813	0.018023	3.9
11	-0.691516	589.480151	0.008832	4.0
12	-0.690483	586.344606	0.009305	3.9
13	-0.292275	583.253145	0.002745	3.5
14	-0.900550	580.204771	0.009389	3.8
15	-0.766895	577.198517	0.012390	3.9
16	-0.459382	574.233444	0.004119	4.0
17	-0.766892	571.308645	0.029819	3.7
18	-0.637548	568.423237	0.015891	3.4
19	-0.540369	565.576365	0.009705	4.7
20	-0.094109	562.767201	0.001468	3.5
21	-0.458063	559.994938	0.009184	3.7
22	-0.667942	557.258797	0.008904	4.0
23	-0.000000	554.558018	0.000000	6.4
24	-0.844831	551.891865	0.015163	4.1
25	-0.776922	549.259621	0.014259	3.7
26	-0.424291	546.660592	0.014842	4.3
27	-0.641720	544.094102	0.011063	3.5
28	-0.928441	541.559494	0.019254	3.7
29	-0.873178	539.056129	0.026854	4.0
30	-0.000000	536.583387	0.000000	4.4
31	-0.615157	534.140663	0.004011	3.4
32	-0.222227	531.727370	0.005049	3.6
33	-0.957150	529.342935	0.025277	4.2
34	-0.892018	526.986802	0.032237	4.6
35	-0.000000	524.658430	0.000000	3.7
36	-0.344915	522.357290	0.005422	3.5
37	-0.899242	520.082868	0.016986	5.3
38	-0.592379	517.834665	0.009256	4.0
39	-0.762281	515.612193	0.012347	3.5
40	-0.783527	513.414976	0.016417	3.8
41	-0.649696	511.242551	0.023536	5.0
42	-0.541944	509.094468	0.028914	3.4
43	-0.647046	506.970285	0.014934	3.3
44	0.000000	504.869574	0.000000	3.3
45	-0.991154	502.791916	0.026770	5.1
46	-0.841011	500.736903	0.029691	4.0
47	-0.587028	498.704137	0.009792	3.5
48	-0.000429	496.693228	0.000166	3.6
49	-0.780809	494.703798	0.005025	5.4
